city_code
villars les blamont
villers la combe
bucy le long
chivy les etouvelles
montigny l allier
nesles la montagne
pargny la dhuys
pargny les bois
chatillon les sons
chery les pouilly
boulieu les annonay
marcols les eaux
montigny les conde
nizy le comte
aulus les bains
montigny les arsures
montmirey la ville
montmirey le chateau
nevy les dole
villette les arbois
lucenay les aix
metz le comte
montsauche les settons
parigny les vaux
sauvigny les bois
villiers le sec
abergement la ronce
lons le saunier
aignay le duc
antigny la ville
baulme la roche
bessey les citeaux
bissey la cote
bissey la pierre
bligny les beaune
chaudenay le chateau
chaumont le bois
corpoyer la chapelle
faverolles les lucey
gilly les citeaux
jours les baigneux
labergement les auxonne
magny les aubigny
maisey le duc
marigny les reullee
montagny les beaune
poiseul les saulx
riel les eaux
saulon la rue
saulx le duc
savigny le sec
voulaines les templiers
beire le chatel
billy les chanceaux
corcelles les arts
corcelles les citeaux
cussy le chatel
fontaine les dijon
grosbois les tichey
gurgy le chateau
hauteville les dijon
baume les dames
marey les fussey
marigny le cahouet
marsannay le bois
montigny le franc
mussy la fosse
courcelles les montbeliard
norges la ville
dampierre les bois
nouvion le comte
pagny la ville
dompierre les tilleuls
nouvion le vineux
oulchy la ville
oulchy le chateau
oulchy le chateau
quincy le vicomte
ruffey les beaune
goux les usiers
guillon les bains
uncey le franc
mazerolles le salin
vernois les vesvres
villers la faye
villers les pots
montjoie le chateau
villiers le duc
naisey les granges
vernois les belvoir
aspres les corps
orgnac l aven
chatillon le duc
chaux les passavant
crosey le grand
fontaine les clerval
gondenans les moulins
pont les moulins
celles les conde
chery les rozoy
serre les sapins
vellerot les belvoir
ax les thermes
vellerot les vercel
nampcelles la cour
nogent l artaud
villers les guise
bussy la pesle
corvol l orgueilleux
cuncy les varzy
cessy les bois
lurcy le bourg
coulanges les nevers
neuville les decize
parigny la rose
pougues les eaux
varennes les narcy
beaumont la ferriere
cercy la tour
crux la ville
arnay le duc
asnieres les dijon
marigny l eglise
baigneux les juifs
bessey la cour
bouze les beaune
sardy les epiry
sauvigny les bois
corcelles les monts
courcelles les montbard
cussy la colonne
fontaines les seches
gurgy la ville
magny les villers
massingy les vitteaux
savigny les beaune
sennecey les dijon
sincey les rouvray
thoisy la berchere
battenans les mines
baume les dames
cernay l eglise
champvans les moulins
chateauvieux les fosses
chevigney les vercel
dammartin les templiers
ampilly les bordes
aubigny la ronce
aubigny les sombernon
bard les epoisses
fesches le chatel
bligny le sec
bussy le grand
goux les dambelin
chaume les baigneux
cirey les pontailler
collonges les bevy
laval le prieure
cussey les forges
longevelle les russey
mercey le grand
montferrand le chateau
flagey les auxonne
montrond le chateau
grenant les sombernon
jailly les moulins
jeux les bard
pierrefontaine les blamont
lucenay le duc
pouilley les vignes
magny la ville
roche les clerval
massingy les semur
menetreux le pitois
poncey les athee
tart le bas
thoisy le desert
venarey les laumes
villy le moutier
adam les passavant
adam les vercel
brancourt le grand
bucy les cerny
bucy les pierrepont
ferrieres le lac
cerny les bucy
hauterive la fresse
villers le lac
mercey le grand
pierrefontaine les varans
autrey les cerre
bard les pesmes
roches les blamont
bucey les traves
chauvirey le chatel
chauvirey le vieil
colombe les vesoul
nanteuil la fosse
ferrieres les scey
fontenois les montbozon
frasne le chateau
granges la ville
magny les jussey
montigny les cherlieu
sauvigney les pesmes
sorans les breurey
vaux le moncelot
velle le chatel
velloreille les choye
betoncourt les brotte
bouhans les montbozon
bourguignon les conflans
brotte les luxeuil
chargey les gray
chargey les port
chassey les scey
chaux la lotiere
dambenoit les colombe
chevagny les chevrieres
echenoz le sec
fleurey les faverney
dracy le fort
frotey les vesoul
fleury la montagne
gray la ville
issy l eveque
montureux les baulay
lucenay l eveque
montagny les buxy
mont les seurre
perrecy les forges
vyt les belvoir
vy les lure
anzy le duc
berze le chatel
berze la ville
